Filename	Document Name	Parties	Agreement Date	Effective Date	Expiration Date	Renewal Term (Days)	Notice Period To Terminate Renewal	Termination For Convenience	Change Of Control	Anti-Assignment	Revenue/Profit Sharing	Ip Ownership Assignment	Joint Ip Ownership	Non-Transferable License	Source Code Escrow	Post-Termination Services	Audit Rights	Uncapped Liability	Cap On Liability	Liquidated Damages	Warranty Duration
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf	                            CONTENT LICENSE AGREEMENT	"CHINA ECONOMIC INFORMATION SERVICE OF XINHUA NEWS AGENCY (""CEIS""); XINHUA FINANCIAL NETWORK LIMITED (""XFN"")"	12/15/01	5/18/00	5/18/20	3650		Yes	No	No	No	No	No	No	No	No	No	No	No	No	No
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf	                           CONTENT LICENSING AGREEMENT	"Data Call Technologies, Inc (""Licensor""); PLAN_B MEDIA AG (""plan_b"")"	3/24/06	4/1/06	4/1/08	180	60	No	No	Yes	Yes	No	No	No	No	Yes	Yes	No	No	No	No
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf	                CONTENT LICENSE AGREEMENT	"Digicorp, Inc. (""Company""); New China Media LLC ((a/k/a New China Media LLC) (""NCM""); YGP, LLC (""YGP""); TWK Holdings, LLC. (""TWK""); (NCM, YGP and TWK individually and collectively referred to as ""CONTENT PROVIDER"")(COMPANY and CONTENT PROVIDER are hereinafter sometimes collectively referred to as the ""Parties"")"	6/2/08	6/2/08	6/2/10	730	90	Yes	No	No	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT.PDF	   FLEET MAINTENANCE AGREEMENT	"DAIRY CREST LIMITED (""DCL""); SEV GROUP LIMITED (""SEV"")"	10/13/05	10/16/05	10/16/10			Yes	No	Yes	No	No	No	No	No	Yes	No	No	Yes	No	No
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf	  CONTENT LICENSE AGREEMENT	"World Book, Inc. (""World Book""); HSW International, Inc. (""HSWI"")"	9/17/08	9/17/08				No	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	Yes	No	No
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf	"  CONTENT LICENSE, MARKETING AND SALES AGREEMENT"	"eFashion Solutions LLC (""EFS""); Playboy.com, Inc. (""Client"", which shall include  affiliates controlling, controlled by or under common control with Playboy.com, Inc.)"	1/15/08	1/15/08	2/28/13	1095		No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	No	No
STWRESOURCESHOLDINGCORP_08_06_2014-EX-10.1-COOPERATION AGREEMENT.PDF	  COOPERATION AGREEMENT	"City of Fort Stockton (""COFS""); STW resources Holding Corp (""STW""); individually referred to as a ""Party, collectively referred to as ""Parties"""	1/1/14	1/1/14	1/1/44	365	60	No	No	No	Yes	No	No	No	No	Yes	Yes	No	No	No	No
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf	  RESELLER AGREEMENT	"i3 Integrative Creative Solutions, LLC (""i3 ICS"", ""Reseller""); Bravatek Solutions, Inc. (""BVTK"", ""Company"")(""party"" and collectively ""parties"")"	4/7/17	4/7/17		365		Yes	No	No	Yes	No	No	No	No	Yes	No	No	Yes	No	No
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement.PDF	  Strategic Alliance Agreement	"IntriCon Corporation (""IntriCon""); Dynamic Hearing Pty Ltd (""Dynamic Hearing"")"	10/1/08	10/1/08	10/1/13			Yes	No	Yes	Yes	No	No	No	No	Yes	Yes	No	Yes	No	No
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement.PDF	 Cooperation Agreement 	"Beike Internet Security Technology Co., Ltd. (""Party A""); Baidu Online Network Technology (Beijing) Co., Ltd.  (""Party B"")"	4/1/13	5/1/13	4/30/15			No	No	No	Yes	No	No	Yes	No	No	No	No	No	Yes	No
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf	" Software License, Customization and Maintenance Agreement"	"Cardlytics, Inc. (“Supplier”);  Bank of America, N.A. (“Bank of America”);"	11/4/10	11/4/10	perpetual			Yes	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4.pdf	ADDENDUM REQUIRED BY THE DEPARTMENT OF LAW OF THE STATE OF NEW YORK	"KIOSK CONCEPTS, INC.; THE GRILLED CHEESE TRUCK, INC."	1/1/15					No	No	No	No	No	No	No	No	No	No	No	No	No	No
